mouse,sex,geno,dob,start,days,months,end,retest_date
1794,f,wt,2011-08-08,2013-05-07,638,21,6/26/2013,9/26/2013
1852,m,wt,2011-10-11,2013-05-07,574,19,6/19/2013,9/21/2013
1854,f,wt,2011-10-11,2013-04-22,559,18,6/14/2013,NA
1862,f,tg,2011-10-12,2013-04-22,558,18,5/31/2013,NA
1870,f,tg,2012-10-12,2013-05-19,219,7,7/23/2013,NA
1871,f,tg,2012-10-12,2013-05-19,219,7,NA,NA
1927,f,wt,2011-08-11,2013-09-05,756,25,11/15/2013,1/15/2014
1928,f,wt,2011-08-11,2013-09-05,756,25,10/29/2013,1/29/2014
1967,m,wt,2011-12-13,2013-09-08,635,21,NA,NA
2023,f,wt,2012-03-01,2013-05-19,444,14,7/4/2013,10/04/2013
2025,f,wt,2012-03-02,2013-03-22,385,12,5/4/2013,6/4/2013
2026,f,wt,2012-03-02,2013-03-22,385,12,5/2/2013,6/2/2013
2106,f,tg,2012-05-04,2013-04-15,346,11,5/28/2013,6/27/2013
2107,f,tg,2012-05-04,2013-04-15,346,11,5/26/2013,7/25/2013
2136,m,tg,2012-07-05,2013-07-06,366,12,8/23/2013,10/23/2013
2141,f,tg,2012-07-05,2013-05-19,318,10,6/26/2013,9/26/2013
2142,f,tg,2012-07-05,2013-01-19,198,6,3/2/2013,6/2/2013
2143,f,tg,2012-07-05,2013-09-08,430,14,10/27/2013,1/27/2014
2144,f,tg,2012-07-05,2013-07-06,366,12,8/18/2013,11/18/2013
2145,f,tg,2012-07-05,2013-01-19,198,6,3/2/2013,NA
2162,f,tg,2012-08-20,2013-01-21,154,5,3/2/2013,6/2/2013
2163,f,tg,2012-08-20,2013-01-21,154,5,3/3/2013,6/3/2013
2164,f,tg,2012-08-20,2013-02-20,184,6,4/8/2013,6/7/2013
2165,f,tg,2012-08-20,2013-02-20,184,6,4/4/2013,6/3/2013
2169,f,wt,2012-08-31,2013-03-16,197,6,5/3/2013,6/2/2013
2182,m,wt,2012-08-30,2013-07-06,310,10,8/29/2013,9/29/2013
2183,m,wt,2012-08-30,2013-06-24,298,9,8/23/2013,9/23/2013
2184,m,wt,2012-08-30,2013-07-06,310,10,9/19/2013,10/19/2013
2185,f,wt,2012-08-30,2013-02-18,172,5,4/2/2013,6/2/2013
2186,f,wt,2012-08-30,2013-02-18,172,5,4/5/2013,6/4/2013
2187,f,wt,2012-08-30,2013-03-15,197,6,4/25/2013,6/24/2013
2290,f,wt,2012-12-13,2013-09-28,289,9,11/24/2013,1/24/2014
2291,f,wt,2012-12-13,2013-09-28,289,9,11/24/2013,1/24/2014